id,title,category,price,image,description,square_url,dimensions,material,print_stats,active
1,Aizawa Sculpture,Sculpture,80,aizawa_001.jpg,this is a test,https://square.link/u/M0hOZEl1,20cm x 20cm, Matte PLA, 12 hours,true
2,Lorenz Butterfly,Sculpture,45.00,lorenz_placeholder.jpg,#,The archetypal strange attractor originally derived for atmospheric convection. Famous for illustrating the Butterfly Effect. Eq: dx/dt=σ(y-x),150mm x 120mm x 100mm,Silk Gold PLA,16 Hours / 0.12mm,true
3,Rössler Band,Sculpture,35.00,rossler_placeholder.jpg,#,A simpler chaotic system containing a single manifold that folds into itself. Resembles a Mobius strip structure. Eq: dx/dt=-y-z,130mm x 130mm x 80mm,Matte White PLA,12 Hours / 0.16mm,false
4,Thomas Cyclic,Sculpture,55.00,thomas_placeholder.jpg,#,A cyclically symmetric attractor forming a complex lattice of interlocking loops. Often requires extensive support removal. Eq: dx/dt=sin(y)-bx,140mm x 140mm x 140mm,Galaxy Black PETG,22 Hours / 0.12mm,false
5,Halvorsen Knot,Sculpture,40.00,halvorsen_placeholder.jpg,#,A chaotic system exhibiting cyclic symmetry. The trajectory visually resembles a "Borromean Ring" style knot. Eq: dx/dt=-ax-4y-4z-y^2,120mm x 120mm x 90mm,Bronze PLA,14 Hours / 0.16mm,false
6,Chen Double Scroll,Sculpture,50.00,chen_placeholder.jpg,#,Similar to the Lorenz system but topologically more complex. Discovered in 1999 by Chen and Ueta. Eq: dx/dt=a(y-x),160mm x 100mm x 110mm,Quantum Dual-Color PLA,18 Hours / 0.12mm,false
7,Sprott Case A,Sculpture,40.00,sprott_a_placeholder.jpg,#,A member of the Sprott alphabet of simple chaotic flows. Case A is known for its elegant simplicity and thin ribbon structure. Eq: dx/dt=y, dy/dt=-x+yz, dz/dt=1-y^2,110mm x 110mm x 90mm,Matte Blue PLA,10 Hours / 0.20mm,false
8,Sprott Case B,Sculpture,40.00,sprott_b_placeholder.jpg,#,Sprott Case B features a dual-lobe structure that mimics the Lorenz butterfly but with a simpler algebraic definition. Eq: dx/dt=yz, dy/dt=x-y, dz/dt=1-xy,120mm x 100mm x 80mm,Galaxy Red PETG,12 Hours / 0.16mm,false
9,Gumowski-Mira,Sculpture,55.00,gumowski_placeholder.jpg,#,Actually a 2D map extruded into 3D. Often resembles marine life or jellyfish structures depending on parameters. Eq: x(n+1) = y(n) + a(1 - 0.05y(n)^2)y(n) + f(x(n)),140mm x 140mm x 100mm,Translucent Resin,18 Hours / 0.05mm,false
10,Clifford Torus,Sculpture,60.00,clifford_placeholder.jpg,#,A 4D torus projected into 3D space. The resulting shape creates a dense, cloud-like volume of points. Eq: x(n+1) = sin(ay) + c*cos(ax),150mm x 150mm x 150mm,Marble PLA,24 Hours / 0.12mm,true
11,Nose-Hoover,Sculpture,45.00,nose_hoover_placeholder.jpg,#,Originally a model for molecular dynamics thermostats. It creates a stable, knot-like orbit. Eq: dx/dt=y, dy/dt=-x+yz, dz/dt=1-y^2,100mm x 100mm x 80mm,Silk Silver PLA,11 Hours / 0.12mm,false
12,Rabinovich-Fabrikant,Sculpture,65.00,rabinovich_placeholder.jpg,#,Known for its extremely complex, wave-like trajectories that look like turbulent fluid flow. Very difficult to print without supports. Eq: dx/dt=y(z-1+x^2)+gx,160mm x 140mm x 120mm,Nylon,28 Hours / 0.12mm,false
13,Three-Scroll Unified,Sculpture,50.00,threescroll_placeholder.jpg,#,A generalized system capable of generating multiple scroll attractors. This variant features three distinct orbiting lobes. Eq: dx/dt=a(y-x)+dxz,130mm x 100mm x 90mm,Rainbow Silk PLA,15 Hours / 0.16mm,true
14,Dadras,Sculpture,42.00,dadras_placeholder.jpg,#,Discovered in 2010. Unique for its wide, sweeping wings that resemble a manta ray in flight. Eq: dx/dt=y-ax+byz,140mm x 120mm x 60mm,Matte Black PLA,13 Hours / 0.20mm,true
15,Chen-Lee,Sculpture,48.00,chen_lee_placeholder.jpg,#,A multi-wing attractor that evolved from the study of Euler equations for rigid body rotation. Eq: dx/dt=ax-yz, dy/dt=by+xz, dz/dt=cz+xy/3,125mm x 125mm x 110mm,Bronze PLA,16 Hours / 0.16mm,true
16,Bouali,Sculpture,45.00,bouali_placeholder.jpg,#,A relatively new system (1999) known for robust chaos and limit cycles that look like two interlocked rings. Eq: dx/dt=x(4-y)+z,110mm x 110mm x 80mm,Copper Silk PLA,12 Hours / 0.12mm,false
17,Finance,Sculpture,38.00,finance_placeholder.jpg,#,A chaotic model originally designed to simulate interest rates and investment demand. Visually sparse but structurally strong. Eq: dx/dt=(1/b-a)x+z+xy,100mm x 90mm x 130mm,Woodfill PLA,9 Hours / 0.20mm,false
18,Newton-Leipnik,Sculpture,52.00,newton_leipnik_placeholder.jpg,#,Derived from Euler rigid body equations. Features two 'strange' attractors that coexist in the same phase space. Eq: dx/dt=-ax+y+10yz,140mm x 130mm x 100mm,Carbon Fiber PLA,19 Hours / 0.16mm,false
19,Lu-Chen,Sculpture,45.00,lu_chen_placeholder.jpg,#,The 'bridge' between the Lorenz and Chen systems. Shows the transition from simple butterfly wings to complex multi-scrolls. Eq: dx/dt=a(y-x),130mm x 110mm x 90mm,Glow-in-the-Dark PLA,14 Hours / 0.20mm,false
20,Hadley,Sculpture,40.00,hadley_placeholder.jpg,#,A model of atmospheric circulation. The shape is simpler and more 'contained' than Lorenz, making it excellent for smaller prints. Eq: dx/dt=-y^2-z^2-ax+af,100mm x 100mm x 100mm,Matte Grey PLA,11 Hours / 0.12mm,true
21,Burke-Shaw,Sculpture,42.00,burke_shaw_placeholder.jpg,#,A system that demonstrates a period-doubling route to chaos. The shape resembles a twisted heart or pretzel. Eq: dx/dt=-s(x+y),115mm x 115mm x 70mm,Pink Silk PLA,13 Hours / 0.16mm,false
22,Arneodo,Sculpture,48.00,arneodo_placeholder.jpg,#,A system specifically designed to find low-dimensional chaos. Visually distinct for its 'branching' structure. Eq: dx/dt=y, dy/dt=z, dz/dt=-ax-by-cz+x^3,120mm x 120mm x 120mm,White ABS,17 Hours / 0.12mm,true





